         ps       /tb/rst             /tb/count           
          delta     /tb/clk              /tb/busy         
                   /tb/repeat                             
                        /tb/upperBound                    
          0  +5         1 0 1 00000100 00000000 1 
      50000  +1         1 1 1 00000100 00000000 1 
     100000  +1         0 0 1 00000100 00000000 1 
     150000  +1         0 1 1 00000100 00000000 1 
     200000  +1         0 0 1 00000100 00000000 1 
     250000  +3         0 1 1 00000100 00000001 1 
     300000  +1         0 0 1 00000100 00000001 1 
     350000  +3         0 1 1 00000100 00000000 1 
     400000  +1         0 0 1 00000100 00000000 1 
     450000  +3         0 1 1 00000100 00000001 1 
     500000  +1         0 0 1 00000100 00000001 1 
     550000  +3         0 1 1 00000100 00000010 1 
     600000  +1         0 0 1 00000100 00000010 1 
     650000  +3         0 1 1 00000100 00000000 1 
     700000  +1         0 0 1 00000100 00000000 1 
     750000  +3         0 1 1 00000100 00000001 1 
     800000  +1         0 0 1 00000100 00000001 1 
     850000  +3         0 1 1 00000100 00000010 1 
     900000  +1         0 0 1 00000100 00000010 1 
     950000  +3         0 1 1 00000100 00000011 1 
    1000000  +1         0 0 1 00000100 00000011 1 
    1050000  +3         0 1 1 00000100 00000000 1 
    1100000  +1         0 0 1 00000100 00000000 1 
    1150000  +3         0 1 1 00000100 00000001 1 
    1200000  +1         0 0 1 00000100 00000001 1 
    1250000  +3         0 1 1 00000100 00000010 1 
    1300000  +1         0 0 1 00000100 00000010 1 
    1350000  +3         0 1 1 00000100 00000011 1 
    1400000  +1         0 0 1 00000100 00000011 1 
    1450000  +3         0 1 1 00000100 00000100 1 
    1500000  +1         0 0 1 00000100 00000100 1 
    1550000  +3         0 1 1 00000100 00000000 1 
    1600000  +1         0 0 1 00000100 00000000 1 
    1650000  +1         0 1 1 00000100 00000000 1 
    1700000  +1         0 0 1 00000100 00000000 1 
    1750000  +3         0 1 1 00000100 00000001 1 
    1800000  +1         0 0 1 00000100 00000001 1 
    1850000  +3         0 1 1 00000100 00000000 1 
    1900000  +1         0 0 1 00000100 00000000 1 
    1950000  +3         0 1 1 00000100 00000001 1 
    2000000  +1         0 0 1 00000100 00000001 1 
    2050000  +3         0 1 1 00000100 00000010 1 
    2100000  +1         0 0 1 00000100 00000010 1 
    2150000  +3         0 1 1 00000100 00000000 1 
    2200000  +1         0 0 1 00000100 00000000 1 
    2250000  +3         0 1 1 00000100 00000001 1 
    2300000  +1         0 0 1 00000100 00000001 1 
    2350000  +3         0 1 1 00000100 00000010 1 
    2400000  +1         0 0 1 00000100 00000010 1 
    2450000  +3         0 1 1 00000100 00000011 1 
    2500000  +1         0 0 0 00000100 00000011 1 
    2550000  +3         0 1 0 00000100 00000000 1 
    2600000  +1         0 0 0 00000100 00000000 1 
    2650000  +3         0 1 0 00000100 00000001 1 
    2700000  +1         0 0 0 00000100 00000001 1 
    2750000  +3         0 1 0 00000100 00000010 1 
    2800000  +1         0 0 0 00000100 00000010 1 
    2850000  +3         0 1 0 00000100 00000011 1 
    2900000  +1         0 0 0 00000100 00000011 1 
    2950000  +5         0 1 0 00000100 00000100 0 
    3000000  +1         0 0 0 00000100 00000100 0 
    3050000  +1         0 1 0 00000100 00000100 0 
    3100000  +1         0 0 0 00000100 00000100 0 
    3150000  +1         0 1 0 00000100 00000100 0 
    3200000  +1         0 0 0 00000100 00000100 0 
    3250000  +1         0 1 0 00000100 00000100 0 
    3300000  +1         0 0 0 00000100 00000100 0 
    3350000  +1         0 1 0 00000100 00000100 0 
    3400000  +1         0 0 0 00000100 00000100 0 
    3450000  +1         0 1 0 00000100 00000100 0 
    3500000  +1         0 0 0 00000100 00000100 0 
    3550000  +1         0 1 0 00000100 00000100 0 
    3600000  +1         0 0 0 00000100 00000100 0 
    3650000  +1         0 1 0 00000100 00000100 0 
    3700000  +1         0 0 0 00000100 00000100 0 
    3750000  +1         0 1 0 00000100 00000100 0 
    3800000  +1         0 0 0 00000100 00000100 0 
    3850000  +1         0 1 0 00000100 00000100 0 
    3900000  +1         0 0 0 00000100 00000100 0 
    3950000  +1         0 1 0 00000100 00000100 0 
    4000000  +1         0 0 0 00000100 00000100 0 
